iter	Passed	Remaining
970	16963	44181
971	16982	44167
972	17000	44151
973	17018	44135
974	17035	44118
975	17053	44101
976	17070	44083
977	17088	44065
978	17105	44046
979	17121	44026
980	17137	44006
981	17155	43988
982	17172	43970
983	17190	43954
984	17208	43939
985	17226	43921
986	17243	43904
987	17262	43890
988	17279	43872
989	17297	43855
990	17316	43841
991	17333	43822
992	17349	43801
993	17366	43781
994	17381	43760
995	17397	43738
996	17413	43717
997	17430	43698
998	17445	43674
999	17459	43649
1000	17475	43626
1001	17490	43604
1002	17506	43583
1003	17522	43562
1004	17539	43544
1005	17555	43523
1006	17571	43502
1007	17589	43484
1008	17605	43462
1009	17620	43441
1010	17635	43416
1011	17650	43394
1012	17666	43372
1013	17681	43349
1014	17697	43327
1015	17712	43303
1016	17728	43283
1017	17775	43338
1018	17801	43342
1019	17825	43341
1020	17845	43329
1021	17863	43311
1022	17879	43290
1023	17895	43269
1024	17909	43245
1025	17926	43226
1026	17941	43203
1027	17956	43179
1028	17976	43168
1029	17994	43152
1030	18009	43129
1031	18026	43110
1032	18041	43085
1033	18055	43060
1034	18070	43036
1035	18085	43014
1036	18101	42993
1037	18117	42972
1038	18133	42951
1039	18148	42927
1040	18164	42907
1041	18180	42885
1042	18197	42868
1043	18213	42848
1044	18231	42830
1045	18247	42810
1046	18264	42791
1047	18282	42774
1048	18299	42756
1049	18317	42740
1050	18333	42720
1051	18350	42700
1052	18366	42681
1053	18383	42662
1054	18400	42644
1055	18420	42631
1056	18438	42616
1057	18454	42596
1058	18472	42579
1059	18489	42560
1060	18504	42537
1061	18521	42518
1062	18539	42503
1063	18556	42484
1064	18572	42464
1065	18587	42441
1066	18604	42421
1067	18619	42399
1068	18634	42377
1069	18650	42356
1070	18667	42336
1071	18683	42316
1072	18699	42296
1073	18715	42276
1074	18757	42312
1075	18789	42328
1076	18812	42323
1077	18835	42318
1078	18855	42306
1079	18899	42349
1080	18960	42427
1081	18987	42432
1082	19009	42424
1083	19030	42413
1084	19049	42400
1085	19068	42385
1086	19088	42373
1087	19108	42362
1088	19130	42354
1089	19149	42340
1090	19172	42333
1091	19196	42329
1092	19226	42340
1093	19257	42352
1094	19285	42358
1095	19310	42356
1096	19331	42345
1097	19357	42346
1098	19376	42332
1099	19393	42313
1100	19411	42296
1101	19429	42279
1102	19447	42262
1103	19463	42240
1104	19478	42217
1105	19493	42194
1106	19509	42172
1107	19526	42153
1108	19542	42133
1109	19557	42109
1110	19572	42087
1111	19588	42066
1112	19604	42043
1113	19619	42021
1114	19633	41996
1115	19648	41972
1116	19663	41949
1117	19678	41927
1118	19694	41904
1119	19709	41883
1120	19725	41861
1121	19741	41841
1122	19757	41818
1123	19773	41798
1124	19789	41778
1125	19807	41762
1126	19824	41742
1127	19840	41720
1128	19855	41699
1129	19871	41676
1130	19886	41653
1131	19902	41634
1132	19918	41611
1133	19933	41589
1134	19949	41568
1135	19966	41549
1136	19981	41527
1137	19996	41504
1138	20011	41482
1139	20028	41461
1140	20043	41439
1141	20058	41416
1142	20075	41397
1143	20090	41376
1144	20106	41355
1145	20124	41337
1146	20139	41315
1147	20155	41293
1148	20172	41275
1149	20188	41255
1150	20205	41235
1151	20221	41214
1152	20237	41195
1153	20254	41176
1154	20271	41156
1155	20286	41134
1156	20302	41112
1157	20316	41089
1158	20331	41066
1159	20346	41044
1160	20361	41021
1161	20377	41000
1162	20393	40980
1163	20409	40958
1164	20424	40937
1165	20440	40915
1166	20456	40895
1167	20471	40873
1168	20487	40852
1169	20503	40831
1170	20519	40810
1171	20534	40787
1172	20548	40765
1173	20563	40742
1174	20579	40720
1175	20594	40698
1176	20609	40677
1177	20625	40655
1178	20639	40631
1179	20656	40612
1180	20672	40591
1181	20687	40569
1182	20703	40550
1183	20721	40532
1184	20740	40517
1185	20758	40501
1186	20778	40488
1187	20800	40481
1188	20820	40467
1189	20840	40455
1190	20859	40439
1191	20877	40423
1192	20897	40411
1193	20915	40394
1194	20933	40378
1195	20954	40367
1196	20974	40353
1197	20991	40335
1198	21006	40314
1199	21023	40294
1200	21039	40274
1201	21057	40258
1202	21073	40238
1203	21089	40216
1204	21105	40197
1205	21122	40178
1206	21138	40158
1207	21154	40136
1208	21170	40117
1209	21186	40096
1210	21202	40075
1211	21218	40056
1212	21234	40034
1213	21249	40013
1214	21265	39993
1215	21281	39972
1216	21295	39949
1217	21310	39926
1218	21326	39905
1219	21341	39884
1220	21357	39863
1221	21372	39841
1222	21387	39820
1223	21403	39798
1224	21418	39777
1225	21434	39757
1226	21451	39738
1227	21467	39718
1228	21482	39696
1229	21498	39676
1230	21513	39654
1231	21529	39634
1232	21545	39613
1233	21561	39593
1234	21576	39571
1235	21591	39549
1236	21606	39528
1237	21622	39507
1238	21637	39485
1239	21653	39464
1240	21669	39445
1241	21686	39426
1242	21703	39408
1243	21721	39391
1244	21739	39376
1245	21758	39360
1246	21777	39345
1247	21797	39333
1248	21814	39315
1249	21833	39300
1250	21850	39282
1251	21867	39263
1252	21885	39246
1253	21902	39228
1254	21919	39209
1255	21938	39195
1256	21955	39177
1257	21972	39159
1258	21989	39140
1259	22005	39120
1260	22023	39103
1261	22040	39085
1262	22055	39064
1263	22071	39044
1264	22087	39024
1265	22104	39005
1266	22121	38988
1267	22140	38972
1268	22158	38955
1269	22175	38937
1270	22192	38919
1271	22208	38899
1272	22223	38878
1273	22239	38857
1274	22254	38836
1275	22271	38817
1276	22286	38795
1277	22301	38774
1278	22316	38753
1279	22332	38732
1280	22346	38710
1281	22363	38690
1282	22378	38669
1283	22393	38647
1284	22408	38625
1285	22423	38604
1286	22439	38584
1287	22455	38564
1288	22470	38543
1289	22486	38522
1290	22501	38501
1291	22516	38480
1292	22531	38457
1293	22546	38437
1294	22562	38417
1295	22578	38396
1296	22594	38377
1297	22609	38356
1298	22625	38336
1299	22641	38316
1300	22659	38299
1301	22677	38283
1302	22693	38262
1303	22707	38240
1304	22722	38218
1305	22739	38200
1306	22755	38181
1307	22773	38164
1308	22788	38144
1309	22804	38122
1310	22819	38101
1311	22832	38078
1312	22847	38056
1313	22861	38033
1314	22876	38012
1315	22891	37990
1316	22905	37966
1317	22921	37947
1318	22935	37924
1319	22950	37903
1320	22965	37882
1321	22980	37860
1322	22994	37837
1323	23009	37816
1324	23024	37794
1325	23040	37774
1326	23055	37754
1327	23070	37732
1328	23084	37710
1329	23099	37688
1330	23114	37667
1331	23129	37646
1332	23145	37625
1333	23159	37604
1334	23174	37581
1335	23188	37559
1336	23202	37537
1337	23220	37520
1338	23237	37502
1339	23254	37485
1340	23270	37464
1341	23284	37442
1342	23298	37420
1343	23313	37399
1344	23333	37384
1345	23348	37364
1346	23364	37344
1347	23380	37326
1348	23397	37308
1349	23413	37287
1350	23429	37268
1351	23445	37249
1352	23461	37230
1353	23477	37209
1354	23495	37193
1355	23513	37177
1356	23529	37158
1357	23546	37140
1358	23563	37123
1359	23580	37104
1360	23595	37084
1361	23611	37064
1362	23627	37044
1363	23643	37024
1364	23662	37010
1365	23678	36991
1366	23694	36971
1367	23710	36952
1368	23725	36931
1369	23741	36911
1370	23761	36898
1371	23779	36883
1372	23796	36865
1373	23812	36845
1374	23828	36825
1375	23844	36805
1376	23862	36790
1377	23879	36772
1378	23895	36753
1379	23911	36733
1380	23927	36714
1381	23944	36696
1382	23959	36675
1383	23974	36655
1384	23989	36633
1385	24004	36612
1386	24019	36592
1387	24034	36570
1388	24049	36550
1389	24100	36583
1390	24124	36577
1391	24148	36569
1392	24167	36555
1393	24202	36563
1394	24223	36552
1395	24243	36538
1396	24259	36520
1397	24275	36499
1398	24289	36478
1399	24305	36457
1400	24323	36441
1401	24341	36425
1402	24360	36410
1403	24379	36395
1404	24398	36381
1405	24417	36366
1406	24435	36349
1407	24451	36329
1408	24468	36311
1409	24483	36291
1410	24502	36275
1411	24521	36261
1412	24539	36245
1413	24557	36228
1414	24574	36211
1415	24591	36193
1416	24609	36176
1417	24627	36159
1418	24644	36141
1419	24660	36123
1420	24677	36104
1421	24694	36087
1422	24709	36065
1423	24725	36046
1424	24741	36026
1425	24758	36008
1426	24776	35992
1427	24792	35973
1428	24808	35954
1429	24825	35935
1430	24841	35917
1431	24858	35898
1432	24874	35879
1433	24889	35859
1434	24906	35840
1435	24925	35826
1436	24942	35808
1437	24957	35787
1438	24973	35767
1439	24988	35747
1440	25003	35727
1441	25018	35706
1442	25033	35685
1443	25048	35664
1444	25062	35642
1445	25078	35623
1446	25093	35601
1447	25107	35579
1448	25121	35558
1449	25137	35539
1450	25153	35520
1451	25171	35504
1452	25191	35490
1453	25208	35472
1454	25225	35454
1455	25243	35437
1456	25260	35420
1457	25277	35402
1458	25294	35385
1459	25311	35366
1460	25328	35348
1461	25345	35330
1462	25361	35312
1463	25378	35294
1464	25395	35276
1465	25410	35255
1466	25425	35235
1467	25440	35214
1468	25454	35192
1469	25468	35171
1470	25483	35150
1471	25498	35129
1472	25513	35109
1473	25529	35090
1474	25543	35068
1475	25557	35046
1476	25572	35026
1477	25588	35006
1478	25604	34987
1479	25619	34966
1480	25634	34947
1481	25650	34927
1482	25664	34906
1483	25679	34885
1484	25694	34864
1485	25709	34844
1486	25723	34823
1487	25740	34804
1488	25758	34788
1489	25772	34767
1490	25787	34746
1491	25802	34725
1492	25818	34706
1493	25832	34684
1494	25846	34663
1495	25861	34642
1496	25875	34621
1497	25889	34600
1498	25905	34581
1499	25921	34562
1500	25936	34541
1501	25951	34521
1502	25966	34501
1503	25983	34484
1504	25999	34464
1505	26016	34446
1506	26034	34430
1507	26052	34413
1508	26069	34396
1509	26085	34377
1510	26102	34359
1511	26118	34340
1512	26133	34320
1513	26151	34304
1514	26169	34287
1515	26184	34267
1516	26200	34249
1517	26216	34230
1518	26232	34211
1519	26249	34193
1520	26265	34174
1521	26281	34155
1522	26296	34135
1523	26311	34114
1524	26326	34094
1525	26341	34075
1526	26403	34115
1527	26427	34106
1528	26447	34092
1529	26476	34090
1530	26497	34078
1531	26514	34059
1532	26528	34039
1533	26543	34018
1534	26558	33997
1535	26573	33977
1536	26587	33956
1537	26602	33936
1538	26617	33915
1539	26631	33894
1540	26647	33875
1541	26662	33854
1542	26676	33833
1543	26690	33812
1544	26705	33791
1545	26720	33772
1546	26736	33753
1547	26755	33738
1548	26771	33719
1549	26788	33701
1550	26805	33684
1551	26822	33666
1552	26839	33649
1553	26856	33631
1554	26875	33615
1555	26894	33600
1556	26914	33586
1557	26932	33570
1558	26950	33554
1559	26968	33538
1560	26987	33523
1561	27005	33506
1562	27022	33489
1563	27039	33470
1564	27056	33452
1565	27072	33434
1566	27089	33416
1567	27104	33396
1568	27120	33378
1569	27137	33359
1570	27152	33340
1571	27170	33323
1572	27187	33305
1573	27204	33288
1574	27221	33271
1575	27238	33253
1576	27254	33234
1577	27269	33214
1578	27284	33194
1579	27299	33174
1580	27314	33153
1581	27328	33132
1582	27342	33111
1583	27357	33091
1584	27372	33071
1585	27386	33050
1586	27400	33029
1587	27416	33010
1588	27431	32989
1589	27445	32969
1590	27461	32950
1591	27476	32929
1592	27490	32909
1593	27507	32891
1594	27523	32872
1595	27539	32853
1596	27556	32836
